iter	Passed	Remaining
281	1111	2830
282	1112	2819
283	1114	2809
284	1115	2799
285	1117	2789
286	1120	2784
287	1122	2774
288	1124	2765
289	1125	2755
290	1127	2746
291	1128	2737
292	1130	2727
293	1133	2721
294	1137	2717
295	1138	2708
296	1140	2699
297	1142	2690
298	1143	2682
299	1145	2672
300	1147	2664
301	1148	2655
302	1151	2648
303	1153	2640
304	1154	2631
305	1156	2622
306	1157	2613
307	1159	2604
308	1160	2595
309	1161	2585
310	1163	2576
311	1164	2568
312	1167	2562
313	1169	2554
314	1171	2546
315	1173	2539
316	1174	2530
317	1176	2522
318	1177	2514
319	1179	2507
320	1183	2503
321	1185	2496
322	1187	2488
323	1189	2481
324	1190	2473
325	1192	2464
326	1193	2456
327	1194	2448
328	1196	2439
329	1198	2432
330	1200	2425
331	1201	2417
332	1202	2408
333	1203	2400
334	1205	2392
335	1206	2384
336	1207	2376
337	1209	2367
338	1210	2359
339	1211	2351
340	1213	2344
341	1214	2337
342	1216	2329
343	1217	2321
344	1218	2314
345	1220	2306
346	1221	2298
347	1222	2290
348	1223	2282
349	1224	2274
350	1226	2267
351	1227	2259
352	1229	2252
353	1231	2246
354	1232	2239
355	1233	2231
356	1234	2224
357	1236	2216
358	1237	2209
359	1238	2202
360	1240	2195
361	1241	2188
362	1242	2180
363	1245	2176
364	1248	2171
365	1250	2165
366	1251	2158
367	1252	2151
368	1253	2144
369	1255	2137
370	1256	2130
371	1257	2123
372	1259	2116
373	1262	2112
374	1264	2106
375	1265	2100
376	1267	2093
377	1268	2087
378	1269	2080
379	1270	2073
380	1272	2067
381	1273	2060
382	1275	2054
383	1277	2049
384	1278	2043
385	1280	2036
386	1281	2029
387	1282	2023
388	1283	2016
389	1285	2010
390	1286	2003
391	1287	1997
392	1288	1990
393	1290	1984
394	1292	1979
395	1293	1973
396	1295	1966
397	1296	1960
398	1297	1954
399	1298	1948
400	1300	1941
401	1301	1935
402	1302	1929
403	1303	1923
404	1305	1917
405	1308	1914
406	1309	1908
407	1310	1902
408	1312	1895
409	1313	1889
410	1314	1883
411	1315	1877
412	1317	1871
413	1318	1865
414	1319	1859
415	1320	1854
416	1321	1848
417	1324	1844
418	1325	1838
419	1326	1832
420	1327	1826
421	1329	1820
422	1330	1815
423	1331	1809
424	1333	1803
425	1334	1797
426	1335	1792
427	1336	1786
428	1337	1780
